kab_kota,Gini,Padat,AHH,AMH,P1,Petani,pdrb_kap,Status,pesisir,
ab. Pacitan,0.35,398,72.18,92.57,16.73,187404,17181,3,1,
Kab. Ponorogo,0.38,666,70.85,89.11,11.92,231017,14164,2,2,
Kab. Trenggalek,0.38,604,72.33,94.41,13.56,192290,15950.5,3,1,
Kab. Tulungagung,0.34,976,72.02,96.84,9.07,220648,22850.1,3,1,
Kab. Blitar,0.35,863,71.8,94.49,10.57,275897,19128,2,1,
Kab. Kediri,0.33,1127,70.65,95.04,13.23,230188,16219.7,2,2,
Kab. Malang,0.37,730,69.7,93.94,11.48,391383,22746.6,1,1,
Kab. Lumajang,0.3,579,67.95,89.22,12.14,221070,18917.6,2,1,
Kab. Jember,0.32,786,63.64,88.42,11.68,426584,19233.8,2,1,
Kab. Banyuwangi,0.32,278,68.58,91.36,9.61,299884,29331.5,1,1,
Kab. Bondowoso,0.33,504,63.95,85.29,15.29,192129,15338.6,3,2,
Kab. Situbondo,0.3,405,63.95,85.29,13.65,142549,17289.1,2,1,
Kab. Probolinggo,0.33,681,62.1,86.55,21.21,248905,17860.7,3,1,
Kab. Pasuruan,0.35,1089,64.81,92.65,11.26,218608,55851.9,2,1,
Kab. Sidoarjo,0.34,3442,71.43,98.86,6.72,50625,54954.3,1,1,
Kab. Mojokerto,0.33,1532,71.13,96.5,10.99,119714,45245.3,2,2,
Kab. Jombang,0.33,1124,70.64,96.06,11.17,182433,19401.2,2,2,
Kab. Nganjuk,0.33,857,71.82,94.5,13.6,197683,14981.6,3,2,
Kab. Madiun,0.36,655,69.68,90.82,12.45,138778,16620.8,2,2,
Kab. Magetan,0.32,913,71.96,94.58,12.19,107417,18149.9,3,2,
Kab. Ngawi,0.34,640,70.97,88.74,15.45,237139,14234.6,3,2,
Kab. Bojonegoro,0.3,566,67.81,91.3,16.02,342334,46104,2,2,
Kab. Tuban,0.34,634,70.71,94.39,17.23,261572,33737.7,2,1,
Kab. Lamongan,0.3,667,68.98,91.45,16.18,217302,19882,2,1,
Kab. Gresik,0.3,1079,71.57,97.38,13.94,111203,67549.5,2,1,
Kab. Bangkalan,0.32,969,64.02,86.67,23.23,202168,17676.2,3,1,
Kab. Sampang,0.26,777,64.52,78.03,27.08,162832,13303.9,3,1,
Kab. Pamekasan,0.32,1089,65.19,86.67,18.53,151566,11491.2,3,1,
Kab. Sumenep,0.26,541,65.49,80.66,21.22,251947,20720.4,3,1,
Kota Kediri,0.35,4480,71.36,98.37,8.23,7140,272905.7,1,2,
Kota Blitar,0.34,4298,73,97.79,7.42,7306,29326.1,1,2,
Kota Malang,0.4,5929,71.14,98.3,4.87,7264,51732.7,1,2,
Kota Probolinggo,0.31,4114,71.16,93.69,8.55,11692,30369.1,1,1,
Kota Pasuruan,0.3,5602,66.75,97.38,7.6,4349,25873.4,1,1,
Kota Mojokerto,0.35,7728,72.48,98.49,6.65,2339,33398.3,1,2,
Kota Madiun,0.39,5192,67.89,88.64,5.02,3630,50994.9,1,2,
Kota Surabaya,0.34,8201,72.13,98.47,6,11866,120057.5,1,1,
Kota Batu,0.33,1492,70.32,97.8,4.77,21252,48200.2,1,2,
